696279 Archaeology	67934 Arqueología	241652 Archäologie	84940 Archéologie	16729 Arqueologia	20030 علم_الآثار	5739 Arkeologia	6144 Αρχαιολογία	17045 Arheologie	5421 Arqueologia
692318 Physics	50638 Física	235237 Physik	81538 Physique	12670 Física	7597 فيزياء	3928 Fisika	6153 Φυσική	19338 Fizică	3496 Fisica
692675 Biology	49848 Biología	235276 Biologie	81357 Biologie	12714 Biologia	16130 علم_الأحياء	4331 Biologia	6155 Βιολογία	16151 Biologie	3453 Biologia
691182 Science	1733769 Ciencia	242681 Wissenschaft	81541 Sciences	591034 Ciència	10711 علوم	3844 Zientziak	6190 Επιστήμη	761042 Știință	2642 Sciéncias
693708 Sports	50825 Deporte	235635 Sport	84923 Sport	815150 Esport	60610 رياضات	21556 Kirolak	6147 Αθλητισμός	16061 Sport	11333 Espòrt
691117 Computer_science	65343 Informática	234948 Informatik	82557 Informatique	13684 Informàtica	482480 علم_الحاسوب	5784 Informatika	00000 XXXXX	12197 Informatică	2633 Informatica
1072038 Mountaineering	81238 Montañismo	457371 Bergsteigen	173304 Alpinisme	31109 Muntanyisme	274221 تسلق_جبال	101272 Mendizaletasuna	14596 Ορειβασία	35795 Alpinism	00000 XXXXX
917347 Abkhazia 	296627 Abjasia 	706598 Abchasien 	1178825 Abkhazie 	121224 Abkhàzia 	315056 أبخازيا 	61034 Abkhazia 	91098 Αμπχαζία 	388297 Abhazia 	77660 Abcazia 
1054514 Abruzzo 	726679 Abruzos 	2599850 Abruzzen 	628845 Abruzzes 	409194 Abruços 	1156965 أبروتسو 	21101 Abruzzo 	102731 Αμπρούτσο 	954608 Abruzzo 	5554 Abruces 
6914608 Aviation_accidents_and_incidents 	1690753 Accidentes_e_incidentes_aéreos 	8297982 Flugunfall_oder_-zwischenfall 	7330890 Accident_ou_incident_aérien 	630295 Accidents_d'aviació 	19263 حوادث_طيران 	103554 Hegazkin_istripuak 	108669 Αεροπορικά_ατυχήματα 	402170 Accidente_aviatice 	57248 Accident_e_incident_aerians 
3544926 Accipitridae 	471897 Accipitridae 	2713190 Habichtartige 	672491 Accipitridae 	181478 Accipítrids 	1140984 بازيات 	309920 Accipitridae 	300617 Αετίδες 	422477 Accipitridae 	54040 Accipitrid 
944451 Actinides 	74824 Actínidos 	268950 Actinoid 	1592303 Actinide 	322184 Actínids 	17062 أكتينيدات 	296213 Aktinidoak 	33556 Ακτινίδες 	235478 Actinide 	52265 Actinid 
694842 Actors 	52486 Actores 	235885 Schauspieler 	82852 Acteur 	17055 Actors 	31742 ممثلون 	7581 Aktoreak 	6385 Ηθοποιοί 	21689 Actori 	10087 Actor 
2845341 Airports_in_Vietnam 	687369 Aeropuertos_de_Vietnam 	7016793 Flughafen_in_Vietnam 	6798175 Aéroport_au_Viêt_Nam 	907811 Aeroports_del_Vietnam 	544196 مطارات_فيتنام 	99632 Vietnamgo_aireportuak 	276813 Αεροδρόμια_στο_Βιετνάμ 	1169075 Aeroporturi_din_Vietnam 	43002 Aeropòrt_de_Vietnam 
696645 Afghanistan 	69348 Afganistán 	242048 Afghanistan 	83961 Afghanistan 	19234 Afganistan 	6779 أفغانستان 	21592 Afganistan 	42385 Αφγανιστάν 	18161 Afganistan 	6856 Afganistan 
698486 South_Africa 	87464 Sudáfrica 	242654 Südafrika 	101570 Afrique_du_Sud 	29012 Sud-àfrica 	6777 جنوب_أفريقيا 	141359 Hegoafrika 	26018 Νότια_Αφρική 	18060 Africa_de_Sud 	6859 Africa_del_Sud 
694871 Agriculture 	51124 Agricultura 	352875 Landwirtschaft 	81359 Agriculture 	19909 Agricultura 	8108 زراعة 	19890 Nekazaritza 	185094 Γεωργία_(δραστηριότητα) 	28696 Agricultură 	5427 Agricultura 
1031839 Space_agencies 	65828 Agencias_espaciales 	234841 Raumfahrtorganisation 	174113 Agence_spatiale 	371452 Agències_espacials 	474374 وكالات_فضاء 	335316 Espazio_agentziak 	121151 Διαστημικές_υπηρεσίες 	748179 Agenții_spațiale 	35109 Agéncia_espaciala 
977553 Water 	79856 Agua 	430065 Wasser 	189766 Eau 	26341 Aigua 	180287 مياه 	10325 Ura 	317858 Νερό 	23347 Apă 	7089 Aiga 
702258 Albania 	69696 Albania 	242050 Albanien 	84097 Albanie 	18885 Albània 	9399 ألبانيا 	8447 Albania 	15079 Αλβανία 	16116 Albania 	5499 Albania 
692312 Albums 	63773 Álbumes 	238902 Album 	129191 Album_de_musique 	60576 Discs 	130209 ألبومات_موسيقية 	34051 Musika_diskoak 	16823 Δισκογραφία 	50801 Albume_muzicale 	29646 Album_de_musica 
707423 Alberta 	271553 Alberta 	592654 Alberta 	119727 Alberta 	431019 Alberta 	894341 ألبرتا 	85569 Alberta 	244857 Αλμπέρτα 	375487 Provincia_Alberta,_Canada 	11230 Albèrta 
713775 Alcohols 	208171 Alcoholes 	656370 Alkohol 	87773 Alcool 	184217 Alcohols 	201621 كحولات 	14612 Alkoholak 	114026 Αλκοόλες 	66767 Alcooli 	58077 Alcòl 
694965 Germany 	54265 Alemania 	242248 Deutschland 	83944 Allemagne 	13781 Alemanya 	6556 ألمانيا 	5293 Alemania 	3780 Γερμανία 	12719 Germania 	5500 Alemanha 
36431011 Alphabets 	52217 Alfabeto 	243604 Alphabet 	87678 Alphabet 	13549 Alfabets 	8502 أبجديات 	11614 Alfabetoak 	6246 Αλφάβητο 	28431 Alfabete 	19589 Alfabet 
691136 Algorithms 	54094 Algoritmos 	236779 Algorithmus 	116394 Algorithme 	18946 Algorismes 	30230 خوارزميات 	12795 Algoritmoak 	36665 Αλγόριθμοι 	185720 Algoritmi 	82248 Algoritme 
690637 Algebra 	64358 Álgebra 	266242 Algebra 	87510 Algèbre 	37207 Àlgebra 	15540 جبر 	41195 Aljebra 	38843 Άλγεβρα 	12193 Algebră 	25912 Algèbra 
695965 Alloys 	66709 Aleaciones 	275844 Legierung 	235373 Alliage 	14143 Aliatges 	138106 سبائك 	63552 Aleazioak 	89028 Κράματα 	181668 Aliaje 	22734 Aliatge 
1077074 Foods 	51176 Alimentos 	240131 Lebensmittel 	482163 Aliment 	19901 Aliments 	528649 أغذية 	5963 Elikagaiak 	118219 Τρόφιμα 	41669 Produse_alimentare 	12840 Aliment 
793378 Alchemy 	66777 Alquimia 	762028 Alchemie 	426583 Alchimie 	552185 Alquímia 	30714 خيمياء 	286093 Alkimia 	83671 Αλχημεία 	124646 Alchimie 	5678 Alquimia 
918412 Hamburg 	728049 Hamburgo 	241814 Hamburg 	477944 Hambourg 	86270 Hamburg 	29984 هامبورغ 	108728 Hanburgo 	99358 Αμβούργο 	259636 Hamburg 	15883 Amborg 
1526345 Americas 	51488 América 	242652 Amerika 	82194 Amérique 	13764 Amèrica 	1137907 الأمريكتان 	4312 Amerika 	38686 Αμερική 	15988 America 	2965 America 
725878 Amines 	99029 Aminas 	1072056 Amin 	478538 Amine 	153154 Amines 	522758 أمينات 	164821 Aminak 	141002 Αμίνες 	109623 Amine 	41480 Amina 
713789 Amino_acids 	208814 Aminoácidos 	534569 Aminosäure 	87738 Acide_aminé 	13129 Aminoàcids 	131678 أحماض_أمينية 	101066 Aminoazidoak 	96233 Αμινοξέα 	78062 Aminoacizi 	38762 Aminoacid 
717465 Admirals 	552206 Almirantes 	7680081 Admiral 	151395 Amiral 	655124 Almiralls 	387352 أميرالات 	290451 Almiranteak 	289086 Ναύαρχοι 	69790 Amirali 	52200 Amiral 
965851 Furniture 	566852 Mobiliario 	288939 Möbelstück 	374808 Ameublement 	29063 Mobles 	180458 أثاث 	33986 Altzariak 	59502 Έπιπλα 	35920 Mobilier 	50879 Amoblament 
1058986 Love 	2121882 Amor 	1402349 Liebe 	537203 Amour 	722500 Amor 	498277 حب 	158826 Maitasuna 	349705 Αγάπη 	185713 Dragoste 	57071 Amor 
718589 Analgesics 	446719 Analgésicos 	940646 Analgetikum 	270098 Analgésique 	43571 Analgèsics 	429530 مسكنات_ألم 	88477 Analgesikoak 	201392 Αναλγητικά 	73191 Analgezice 	54791 Analgesic 
780754 Anarchism 	68301 Anarquismo 	480542 Anarchismus 	114260 Anarchisme 	19235 Anarquisme 	30579 لاسلطوية 	8671 Anarkismoa 	11376 Αναρχισμός 	40711 Anarhism 	29391 Anarquisme 
1099513 Anatidae 	435542 Anatidae 	758620 Entenvögel 	365263 Anatidae 	311100 Anàtids 	1781262 إوزية 	106583 Anatidae 	146677 Νησσίδες 	267046 Anatidae 	53601 Anatid 
692380 Anatomy 	49299 Anatomía 	235280 Anatomie 	84836 Anatomie 	20747 Anatomia 	19410 تشريح 	4332 Anatomia 	20942 Ανατομία 	16150 Anatomie 	4865 Anatomia 
24967976 Andes 	4834320 Cordillera_de_los_Andes 	243029 Anden 	141239 Andes 	29797 Andes 	1864145 أنديز 	68222 Andeak 	256707 Άνδεις 	386460 Anzii_Cordilieri 	37626 Andes 
